,0,1,2,3
0,0.0,0.0,0.0,1.5
1,0.1,0.007141682182010247,0.1389346128735025,1.2658257156011736
2,0.2,0.026880716037264173,0.2507352413642295,0.9588475654085202
3,0.3,0.05615631448608688,0.32863332428135533,0.5898292113640172
4,0.4,0.09128976453896298,0.36708817698773405,0.1724946088654019
5,0.5,0.12812126554600722,0.36206000989820974,-0.2769521010681999
6,0.6,0.1621714776718089,0.3112292910849944,-0.7404162534023536
7,0.7,0.18882190255384473,0.21415257383022357,-1.1985896566945735
8,0.8,0.20350734783408964,0.0723473244286153,-1.6316890128307289
9,0.9,0.20191311527592884,-0.1106989799773977,-2.0202271627849266
10,1.0,0.18016922522157505,-0.32959726653860033,-2.345787004819948
11,1.1,0.13503396372822574,-0.577201534061736,-2.5917675651111853
12,1.2,0.06405931649260117,-0.8448254919771817,-2.7440725443603697
13,1.3,-0.0342685727781982,-1.1225240142754422,-2.7917136884008102
14,1.4,-0.16041993274704724,-1.3994296342576995,-2.727304459869453
15,1.5,-0.3137478032253116,-1.6641320517269924,-2.547423601436771
16,1.6,-0.4924540050405162,-1.9050868240835963,-2.252833119189888
17,1.7,-0.6935968125427577,-2.111038139759655,-1.8485407848432123
18,1.8,-0.9131409504909876,-2.271439879001064,-1.3437032393459327
19,1.9,-1.1460489482272518,-2.376859082914405,-0.7513719432011532
20,2.0,-1.3864113176140753,-2.4193464827278723,-0.08809031794423094
21,2.1,-1.6276115379677685,-2.392759868931292,0.6266437815955552
22,2.2,-1.8625204889290532,-2.293027762395578,1.3710308620923275
23,2.3,-2.083713823323488,-2.1183430228556235,2.1217139294802916
24,2.4,-2.2837048616474727,-1.8692786109927373,2.854586443168833
25,2.5,-2.455184953775705,-1.548820609350246,3.5456340201897123
26,2.6,-2.5912629171385566,-1.1623166928013489,4.171778446139343
27,2.7,-2.685695137682851,-0.7173414017653346,4.711692391800215
28,2.8,-2.7330982119807183,-0.2234826882095774,5.146554302166483
29,2.9,-2.7291366052444945,0.3079428452436489,5.460715177118264
30,3.0,-2.6706786782893075,0.8642359235174898,5.642252312333062
31,3.1,-2.555915563275161,1.431709420212583,5.683389384097033
32,3.2,-2.3844387003476815,1.9961178353970355,5.58076737333666
33,3.3,-2.1572733341322854,2.5431059746341336,5.33555653193274
34,3.4,-1.876866853530139,3.0586606960055853,4.953405674291519
35,3.5,-1.5470324798162103,3.529549530767311,4.444231290779472
36,3.6,-1.1728504047172363,3.9437305400519955,3.821855083430215
37,3.7,-0.7605299911124185,4.29071892169695,3.1035042793056506
38,3.8,-0.31723801689049413,4.561897581539996,2.3091942580511144
39,3.9,0.14910088432906432,4.75076106467879,1.461017435450857
40,4.0,0.6300244973551206,4.853084817794429,0.5823658029903351
41,4.1,1.1167662647573393,4.867014621977391,-0.3028830989537834
42,4.2,1.600493377010832,4.793074083598698,-1.1711857902531109
43,4.3,2.0725415432616376,4.6340911789176165,-2.00012706737005
44,4.4,2.5246385254299417,4.395047894572766,-2.7691590720166714
45,4.5,2.94910906785558,4.082859871937882,-3.4602578368464956
46,4.6,3.339054677043112,3.70609553712135,-4.058473374079754
47,4.7,3.6885027669865247,3.2746463806467676,-4.552353736063957
48,4.8,3.992520941562477,2.7993617579003955,-4.934228585852266
49,4.9,4.2472935856567435,2.2916627487198227,-5.200343465773592
50,5.0,4.450159424721243,1.7631501991166003,-5.35084191647403
51,5.1,4.599610228903026,1.225222050461383,-5.38959863983665
52,5.2,4.695252322533643,0.6887144459246944,-5.323912775850132
53,5.3,4.737733954046322,0.16357991876422617,-5.1640758423108615
54,5.4,4.72864283069259,-0.34138573700129304,-4.922833750024837
55,5.5,4.670379178282491,-0.8187584645385255,-4.614766362785587
56,5.6,4.566010508140432,-1.2626358718246782,-4.255611161378906
57,5.7,4.41911483075309,-1.668717915531873,-3.861559573743453
58,5.8,4.233619328221999,-2.0343170758190205,-3.4485553724998557
59,5.9,4.0136414772557565,-2.358299689019744,-3.0316241864269102
60,6.0,3.7633393045763794,-2.6409629429563295,-2.6242616421051195
61,6.1,3.4867768725205623,-2.8838546680518293,-2.237905011000446
62,6.2,3.1878102606070926,-3.089545370622453,-1.8815095953455663
63,6.3,2.8699982652106044,-3.2613638597859613,-1.5612465929639874
64,6.4,2.536540829007679,-3.4031092401191847,-1.2803340203652094
65,6.5,2.1902468859763697,-3.5187529221063216,-1.0390066553370658
66,6.6,1.8335319224244924,-3.612144607121665,-0.8346251133723865
67,6.7,1.4684441680657747,-3.6867359221465597,-0.6619183340916814
68,6.8,1.0967170017397951,-3.7453345243950196,-0.5133481613323677
69,6.9,0.7198439397167109,-3.7899001035531352,-0.37957958070022313
70,7.0,0.3391715216660507,-3.8213918372710185,-0.2500357389093416
71,7.1,-0.04399543545577017,-3.8396745811998283,-0.11351329048251671
72,7.2,-0.42828234646628993,-3.843488491907656,0.04116895506294671
73,7.3,-0.8121335926155131,-3.830483995677427,0.22451657352713006
74,7.4,-1.1937079923734866,-3.797321143020009,0.4457300313445358
